N/A,PHSABC\vccdosim 09-Mar-2022 5:55:31 PM,,,,,,,,,,
x  = Dose ( cGy),y / % transmission,,,,,calibration strips given known dose,,,,,
derived calibration curve ,,,,,,,,,,,
,RED,,GREEN,,BLUE,DOSE (cGy),RED (%),DOSE (cGy),GREEN (%),DOSE (cGy),BLUE (%)
x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
2769.6,3.8,2769.6,5.6,2769.6,20.8,,,,,,
2781.8,3.8,2781.8,5.5,2781.8,20.7,,,,,,
2793.9,3.7,2793.9,5.5,2793.9,20.7,,,,,,
2806.1,3.7,2806.1,5.4,2806.1,20.7,,,,,,
2818.2,3.7,2818.2,5.4,2818.2,20.7,,,,,,
2830.4,3.7,2830.4,5.3,2830.4,20.7,,,,,,
2842.5,3.6,2842.5,5.3,2842.5,20.7,,,,,,
2854.7,3.6,2854.7,5.2,2854.7,20.7,,,,,,
2866.8,3.6,2866.8,5.2,2866.8,20.7,,,,,,
2879,3.6,2879,5.1,2879,20.7,,,,,,
2891.1,3.5,2891.1,5.1,2891.1,20.7,,,,,,
2903.2,3.5,2903.2,5,2903.2,20.6,,,,,,
2915.4,3.5,2915.4,5,2915.4,20.6,,,,,,
2927.5,3.5,2927.5,4.9,2927.5,20.6,,,,,,
2939.7,3.4,2939.7,4.9,2939.7,20.6,,,,,,
2951.8,3.4,2951.8,4.8,2951.8,20.6,,,,,,
2964,3.4,2964,4.8,2964,20.6,,,,,,
2976.1,3.4,2976.1,4.7,2976.1,20.6,,,,,,
2988.3,3.3,2988.3,4.7,2988.3,20.6,,,,,,
3000.4,3.3,3000.4,4.6,3000.4,20.6,,,,,,
3012.6,3.3,3012.6,4.6,3012.6,20.6,,,,,,
3024.7,3.3,3024.7,4.6,3024.7,20.5,,,,,,
3036.9,3.2,3036.9,4.5,3036.9,20.5,,,,,,
3049,3.2,3049,4.5,3049,20.5,,,,,,
3061.2,3.2,3061.2,4.4,3061.2,20.5,,,,,,
3073.3,3.2,3073.3,4.4,3073.3,20.5,,,,,,
3085.5,3.1,3085.5,4.3,3085.5,20.5,,,,,,
3097.6,3.1,3097.6,4.3,3097.6,20.5,,,,,,
3109.8,3.1,3109.8,4.2,3109.8,20.5,,,,,,
3121.9,3.1,3121.9,4.2,3121.9,20.5,,,,,,
3134.1,3,3134.1,4.2,3134.1,20.5,,,,,,
3146.2,3,3146.2,4.1,3146.2,20.5,,,,,,
3158.3,3,3158.3,4.1,3158.3,20.4,,,,,,
3170.5,3,3170.5,4,3170.5,20.4,,,,,,
3182.6,2.9,3182.6,4,3182.6,20.4,,,,,,
